scenario,seed,head,qwk,acc_pct,mae,rmse,macro_p,macro_r,macro_f1,wtd_p,wtd_r,wtd_f1,p_grade_0_(normal),r_grade_0_(normal),f1_grade_0_(normal),p_grade_1_(doubtful),r_grade_1_(doubtful),f1_grade_1_(doubtful),p_grade_2_(minimal),r_grade_2_(minimal),f1_grade_2_(minimal),p_grade_3_(moderate),r_grade_3_(moderate),f1_grade_3_(moderate),p_grade_4_(severe),r_grade_4_(severe),f1_grade_4_(severe)
multi_ce_resnet50_effnetb3,33,CE,0.8226,63.2246,0.4022,0.6872,0.7049,0.6754,0.6776,0.6967,0.6322,0.651,0.7849,0.6854,0.7318,0.3172,0.5743,0.4087,0.7302,0.5145,0.6037,0.8462,0.7399,0.7895,0.8462,0.8627,0.8544
multi_ce_resnet50_effnetb3,81,CE,0.8273,65.8213,0.3895,0.6981,0.6906,0.6733,0.6756,0.6824,0.6582,0.6628,0.7315,0.8185,0.7725,0.3067,0.3885,0.3428,0.7524,0.5302,0.622,0.8769,0.7668,0.8182,0.7857,0.8627,0.8224
multi_ce_resnet50_effnetb3,5,CE,0.8084,61.9565,0.4312,0.7315,0.6708,0.67,0.6521,0.6792,0.6196,0.631,0.7403,0.7449,0.7426,0.2906,0.4899,0.3648,0.7631,0.4251,0.546,0.8434,0.7489,0.7933,0.7164,0.9412,0.8136
multi_coral_resnet50_effnetb3,33,CORAL,0.8224,62.0169,0.4167,0.7011,0.6633,0.6721,0.6596,0.6666,0.6202,0.6347,0.7731,0.6667,0.716,0.2939,0.4696,0.3615,0.7015,0.5257,0.601,0.7583,0.8161,0.7862,0.7895,0.8824,0.8333
multi_coral_resnet50_effnetb3,81,CORAL,0.8142,63.1039,0.4215,0.7273,0.6484,0.6458,0.6439,0.6433,0.631,0.633,0.7255,0.7778,0.7508,0.2901,0.348,0.3164,0.6806,0.5101,0.5831,0.7719,0.7892,0.7805,0.7736,0.8039,0.7885
multi_coral_resnet50_effnetb3,5,CORAL,0.8143,64.0097,0.4124,0.7211,0.678,0.6503,0.6564,0.6616,0.6401,0.6415,0.7386,0.8091,0.7722,0.3375,0.4595,0.3891,0.6886,0.4452,0.5408,0.7742,0.7534,0.7636,0.8511,0.7843,0.8163
multi_hybrid_resnet50_effnetb3,33,CE,0.8008,63.6473,0.4354,0.7626,0.6495,0.6707,0.6514,0.6444,0.6365,0.6337,0.6862,0.8044,0.7406,0.2917,0.3074,0.2993,0.71,0.5257,0.6041,0.8454,0.7354,0.7866,0.7143,0.9804,0.8264
multi_hybrid_resnet50_effnetb3,81,CE,0.802,66.0024,0.4257,0.7751,0.6295,0.6566,0.6276,0.6349,0.66,0.6347,0.6809,0.9014,0.7758,0.3397,0.1791,0.2345,0.6667,0.5861,0.6238,0.8333,0.6951,0.7579,0.6267,0.9216,0.746
multi_hybrid_resnet50_effnetb3,5,CE,0.8101,65.157,0.4118,0.7347,0.6752,0.6685,0.6704,0.6533,0.6516,0.6506,0.7119,0.7887,0.7483,0.309,0.3142,0.3116,0.6854,0.5996,0.6396,0.8366,0.7578,0.7953,0.8333,0.8824,0.8571
multi_hybrid_resnet50_resnet50,33,CE,0.8121,64.4324,0.4161,0.7352,0.6584,0.6741,0.6635,0.6526,0.6443,0.6457,0.7196,0.759,0.7388,0.3104,0.3514,0.3296,0.7051,0.5615,0.6252,0.7811,0.8161,0.7982,0.7759,0.8824,0.8257
multi_hybrid_resnet50_resnet50,81,CE,0.8209,64.2512,0.4082,0.7156,0.6676,0.6498,0.6528,0.6583,0.6425,0.6424,0.7222,0.8138,0.7653,0.2938,0.3514,0.32,0.7333,0.4922,0.589,0.7725,0.8072,0.7895,0.8163,0.7843,0.8
multi_hybrid_resnet50_resnet50,5,CE,0.786,59.4203,0.4764,0.7898,0.6059,0.633,0.6002,0.6183,0.5942,0.5927,0.6815,0.7903,0.7319,0.2839,0.3682,0.3206,0.6594,0.4072,0.5035,0.8023,0.6188,0.6987,0.6024,0.9804,0.7463
teacher_ce_resnet50,shared,CE,0.8193,63.4662,0.407,0.7002,0.7033,0.659,0.6714,0.6824,0.6347,0.6483,0.7601,0.7387,0.7492,0.3067,0.4932,0.3782,0.7327,0.4966,0.592,0.8057,0.7623,0.7834,0.9111,0.8039,0.8542
teacher_ce_effnetb3,shared,CE,0.8226,64.1908,0.3992,0.6937,0.7045,0.68,0.6796,0.6989,0.6419,0.6564,0.8,0.7011,0.7473,0.3282,0.5709,0.4168,0.7374,0.4899,0.5887,0.7848,0.8341,0.8087,0.8723,0.8039,0.8367
teacher_coral_resnet50,shared,CORAL,0.8445,66.7874,0.3665,0.6608,0.7006,0.6728,0.679,0.6923,0.6679,0.6717,0.7701,0.8075,0.7884,0.3534,0.4764,0.4058,0.7483,0.5056,0.6035,0.7676,0.8296,0.7974,0.8636,0.7451,0.8
teacher_coral_effnetb3,shared,CORAL,0.8512,68.1763,0.3533,0.6515,0.6999,0.6807,0.6867,0.6863,0.6818,0.6796,0.7623,0.8482,0.803,0.3662,0.402,0.3833,0.7227,0.5481,0.6234,0.7787,0.8206,0.7991,0.8696,0.7843,0.8247
